name,set
Tracking,Basic
Animal Companion,Basic
Multi-Shot,Basic
Arcane Missiles,Basic
Mind Vision,Basic
Soulfire,Basic
Succubus,Basic
Cleave,Basic
Misdirection,Classic
Holy Wrath,Classic
Avenging Wrath,Classic
Thoughtsteal,Classic
Mindgames,Classic
Forked Lightning,Classic
Lightning Storm,Classic
Blood Imp,Classic
Bane of Doom,Classic
Doomguard,Classic
Brawl,Classic
Young Priestess,Classic
Knife Juggler,Classic
Mad Bomber,Classic
Nat Pagle,Classic
Master Swordsmith,Classic
Alarm-o-Bot,Classic
Demolisher,Classic
Mind Control Tech,Classic
Tinkmaster Overspark,Classic
Stampeding Kodo,Classic
Ysera,Classic
Sylvanas Windrunner,Classic
Ragnaros the Firelord,Classic
Webspinner,Naxxramas
Avenge,Naxxramas
Dark Cultist,Naxxramas
Anub'ar Ambusher,Naxxramas
Voidcaller,Naxxramas
Mad Scientist,Naxxramas
Deathlord,Naxxramas
Glaivezooka,Goblins vs Gnomes
Call Pet,Goblins vs Gnomes
Flamecannon,Goblins vs Gnomes
Unstable Portal,Goblins vs Gnomes
Goblin Blastmage,Goblins vs Gnomes
Flame Leviathan,Goblins vs Gnomes
Coghammer,Goblins vs Gnomes
Shadowboxer,Goblins vs Gnomes
Sabotage,Goblins vs Gnomes
Powermace,Goblins vs Gnomes
Crackle,Goblins vs Gnomes
Ancestor's Call,Goblins vs Gnomes
Neptulon,Goblins vs Gnomes
Fel Cannon,Goblins vs Gnomes
Imp-losion,Goblins vs Gnomes
Bouncing Blade,Goblins vs Gnomes
Iron Juggernaut,Goblins vs Gnomes
Recombobulator,Goblins vs Gnomes
Gnomish Experimenter,Goblins vs Gnomes
Mech-Bear-Cat,Goblins vs Gnomes
Clockwork Gnome,Goblins vs Gnomes
Tinkertown Technician,Goblins vs Gnomes
Mechanical Yeti,Goblins vs Gnomes
Toshley,Goblins vs Gnomes
Piloted Shredder,Goblins vs Gnomes
Madder Bomber,Goblins vs Gnomes
Blingtron 3000,Goblins vs Gnomes
Bomb Lobber,Goblins vs Gnomes
Dr. Boom,Goblins vs Gnomes
Piloted Sky Golem,Goblins vs Gnomes
Sneed's Old Shredder,Goblins vs Gnomes
Flamewaker,Blackrock Mountain
Resurrect,Blackrock Mountain
Fireguard Destroyer,Blackrock Mountain
Hungry Dragon,Blackrock Mountain
Chromaggus,Blackrock Mountain
Nefarian,Blackrock Mountain
Mulch,Grand Tournament
King's Elekk,Grand Tournament
Varian Wrynn,Grand Tournament
Argent Lance,Grand Tournament
Tuskarr Jouster,Grand Tournament
Healing Wave,Grand Tournament
Gadgetzan Jouster,Grand Tournament
Armored Warhorse,Grand Tournament
Master Jouster,Grand Tournament
The Skeleton Knight,Grand Tournament
Lock and Load,Grand Tournament
Ram Wrangler,Grand Tournament
Spellslinger,Grand Tournament
Effigy,Grand Tournament
Murloc Knight,Grand Tournament
Shadowfiend,Grand Tournament
Confessor Paletress,Grand Tournament
Burgle,Grand Tournament
Beneath the Grounds,Grand Tournament
Elemental Destruction,Grand Tournament
Tuskarr Totemic,Grand Tournament
Fist of Jaraxxus,Grand Tournament
Dark Bargain,Grand Tournament
Void Crusher,Grand Tournament
Sea Reaver,Grand Tournament
Flame Juggler,Grand Tournament
Eydis Darkbane,Grand Tournament
Nexus-Champion Saraad,Grand Tournament
Grand Crusader,Grand Tournament
Raven Idol,League of Explorer
Mounted Raptor,League of Explorer
Dart Trap,League of Explorer
Desert Camel,League of Explorer
Ethereal Conjurer,League of Explorer
Anyfin Can Happen,League of Explorer
Museum Curator,League of Explorer
Rumbling Elemental,League of Explorer
Dark Peddler,League of Explorer
Sir Finley Mrrgglton,League of Explorer
Huge Toad,League of Explorer
Jeweled Scarab,League of Explorer
Ancient Shade,League of Explorer
Elise Starseeker,League of Explorer
Gorillabot A-3,League of Explorer
Tomb Spider,League of Explorer
Anubisath Sentinel,League of Explorer
Summoning Stone,League of Explorer
Arch-Thief Rafaam,League of Explorer
Fiery Bat,Old Gods
Infest,Old Gods
Demented Frostcaller,Old Gods
Cabalist's Tome,Old Gods
Servant of Yogg-Saron,Old Gods
Faceless Summoner,Old Gods
Selfless Hero,Old Gods
A Light in the Darkness,Old Gods
"Ragnaros, Lightlord",Old Gods
Forbidden Shaping,Old Gods
Shifting Shade,Old Gods
Journey Below,Old Gods
Undercity Huckster,Old Gods
"Xaril, Poisoned Mind",Old Gods
Thistle Tea,Old Gods
Evolve,Old Gods
Master of Evolution,Old Gods
Darkshire Librarian,Old Gods
Renounce Darkness,Old Gods
Spreading Madness,Old Gods
Malkorok,Old Gods
Shifter Zerus,Old Gods
Tentacle of N'Zoth,Old Gods
Zealous Initiate,Old Gods
"Nat, the Darkfisher",Old Gods
C'Thun,Old Gods
"N'Zoth, the Corruptor",Old Gods
"Y'Shaarj, Rage Unbound",Old Gods
"Yogg-Saron, Hope's End",Old Gods
Moonglade Portal,Karazhan
Firelands Portal,Karazhan
Silvermoon Portal,Karazhan
Maelstrom Portal,Karazhan
Ironforge Portal,Karazhan
Babbling Book,Karazhan
Ivory Knight,Karazhan
Onyx Bishop,Karazhan
Swashburglar,Karazhan
Wicked Witchdoctor,Karazhan
Silverware Golem,Karazhan
Netherspite Historian,Karazhan
Zoobot,Karazhan
Barnes,Karazhan
Menagerie Magician,Karazhan
Prince Malchezaar,Karazhan
"Medivh, the Guardian",Karazhan
Lunar Visions,Gadgetzan
Smuggler's Crate,Gadgetzan
Hidden Cache,Gadgetzan
Trogg Beastrager,Gadgetzan
Greater Arcane Missiles,Gadgetzan
Grimscale Chum,Gadgetzan
Drakonid Operative,Gadgetzan
"Shaku, the Collector",Gadgetzan
Finders Keepers,Gadgetzan
Devolve,Gadgetzan
Lotus Illusionist,Gadgetzan
Kabal Trafficker,Gadgetzan
I Know a Guy,Gadgetzan
Grimestreet Pawnbroker,Gadgetzan
Brass Knuckles,Gadgetzan
Grimy Gadgeteer,Gadgetzan
Patches the Pirate,Gadgetzan
Dirty Rat,Gadgetzan
Grimestreet Informant,Gadgetzan
Grimestreet Smuggler,Gadgetzan
Kabal Courier,Gadgetzan
Kabal Chemist,Gadgetzan
Kazakus,Gadgetzan
"Finja, the Flying Star",Gadgetzan
Lotus Agents,Gadgetzan
Madam Goya,Gadgetzan
Wrathion,Gadgetzan
Don Han'Cho,Gadgetzan
Mayor Noggenfogger,Gadgetzan
Tortollan Forager,Un'Goro
Evolving Spores,Un'Goro
Elder Longneck,Un'Goro
Verdant Longneck,Un'Goro
Giant Anaconda,Un'Goro
Crackling Razormaw,Un'Goro
Adaptation,Un'Goro
Lightfused Stegodon,Un'Goro
Ornery Direhorn,Un'Goro
Ravasaur Runt,Un'Goro
Pterrordax Hatchling,Un'Goro
Vicious Fledgling,Un'Goro
Gentle Megasaur,Un'Goro
Volcanosaur,Un'Goro
Jeweled Macaw,Un'Goro
Stampede,Un'Goro
Primordial Glyph,Un'Goro
Shimmering Tempest,Un'Goro
Hydrologist,Un'Goro
Crystalline Oracle,Un'Goro
Shadow Visions,Un'Goro
Curious Glimmerroot,Un'Goro
Mirage Caller,Un'Goro
Tortollan Shellraiser,Un'Goro
Lyra the Sunshard,Un'Goro
Free From Amber,Un'Goro
Hallucination,Un'Goro
Mimic Pod,Un'Goro
Volcano,Un'Goro
Clutchmother Zavas,Un'Goro
Chittering Tunneler,Un'Goro
Lakkari Felhound,Un'Goro
Ravenous Pterrordax,Un'Goro
Cruel Dinomancer,Un'Goro
Molten Blade,Un'Goro
Explore Un'Goro,Un'Goro
Volatile Elemental,Un'Goro
Primalfin Lookout,Un'Goro
Stonehill Defender,Un'Goro
Bright-Eyed Scout,Un'Goro
Elise the Trailblazer,Un'Goro
Servant of Kalimos,Un'Goro
Tortollan Primalist,Un'Goro
Stitched Tracker,Frozen Throne
Professor Putricide,Frozen Throne
Deathstalker Rexxar,Frozen Throne
Abominable Bowman,Frozen Throne
Breath of Sindragosa,Frozen Throne
Sindragosa,Frozen Throne
Blackguard,Frozen Throne
Shadow Ascendant,Frozen Throne
Eternal Servitude,Frozen Throne
Devour Mind,Frozen Throne
Shadow Essence,Frozen Throne
Obsidian Statue,Frozen Throne
Roll the Bones,Frozen Throne
Lilian Voss,Frozen Throne
"Thrall, Deathseer",Frozen Throne
Gnomeferatu,Frozen Throne
Howlfiend,Frozen Throne
Unwilling Sacrifice,Frozen Throne
Bloodreaver Gul'dan,Frozen Throne
Rotface,Frozen Throne
Shallow Gravedigger,Frozen Throne
Arfus,Frozen Throne
Corpsetaker,Frozen Throne
Meat Wagon,Frozen Throne
Cobalt Scalebane,Frozen Throne
Tomb Lurker,Frozen Throne
Bone Drake,Frozen Throne
The Lich King,Frozen Throne
Oaken Summons,Kobalds
Grizzled Guardian,Kobalds
Kathrena Winterwisp,Kobalds
Call to Arms,Kobalds
Gather Your Party,Kobalds
Woecleaver,Kobalds
Guild Recruiter,Kobalds
Silver Vanguard,Kobalds
Dragonhatcher,Kobalds
Master Oakheart,Kobalds
Raven Familiar,Kobalds
Dragon's Fury,Kobalds
Spiteful Summoner,Kobalds
Unidentified Maul,Kobalds
Unidentified Elixir,Kobalds
Unidentified Shield,Kobalds
Wandering Monster,Kobalds
Seeping Oozeling,Kobalds
To My Side!,Kobalds
Rhok'delar,Kobalds
Shifting Scroll,Kobalds
Lesser Ruby Spellstone,Kobalds
Deck of Wonders,Kobalds
Val'anyr,Kobalds
Lynessa Sunsorrow,Kobalds
Psionic Probe,Kobalds
Twilight's Call,Kobalds
Lesser Diamond Spellstone,Kobalds
Sudden Betrayal,Kobalds
Fal'dorei Strider,Kobalds
Kobold Illusionist,Kobalds
Lesser Onyx Spellstone,Kobalds
Unstable Evolution,Kobalds
Primal Talismans,Kobalds
The Runespear,Kobalds
Skull of the Man'ari,Kobalds
Possessed Lackey,Kobalds
Kobold Barbarian,Kobalds
Geosculptor Yip,Kobalds
Gravelsnout Knight,Kobalds
Kobold Apprentice,Kobalds
Rummaging Kobold,Kobalds
Shrieking Shroom,Kobalds
The Darkness,Kobalds
Hungry Ettin,Kobalds
Grand Archivist,Kobalds
Marin the Fox,Kobalds
Witching Hour,Witchwood
Dire Frenzy,Witchwood
Book of Specters,Witchwood
Archmage Arugal,Witchwood
Cinderstorm,Witchwood
Arcane Keysmith,Witchwood
Vex Crow,Witchwood
"Toki, Time-Tinker",Witchwood
Bellringer Sentry,Witchwood
Prince Liam,Witchwood
Chameleos,Witchwood
Coffin Crasher,Witchwood
Pick Pocket,Witchwood
Blink Fox,Witchwood
Face Collector,Witchwood
Tess Greymane,Witchwood
Blazing Invocation,Witchwood
Witch's Apprentice,Witchwood
Earthen Might,Witchwood
Hagatha the Witch,Witchwood
Shudderwock,Witchwood
Dark Possession,Witchwood
Witchwood Imp,Witchwood
Woodcutter's Axe,Witchwood
Deadly Arsenal,Witchwood
Blackhowl Gunspire,Witchwood
Swamp Dragon Egg,Witchwood
Ravencaller,Witchwood
Tanglefur Mystic,Witchwood
Witch's Cauldron,Witchwood
Mad Hatter,Witchwood
Dollmaster Dorian,Witchwood